src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,88,0,4,0,0,342.0
98,89,0,4,0,0,326.0
97,52,0,4,0,0,342.0
96,93,0,4,0,0,374.0
96,74,4,4,0,0,342.0
96,51,8,4,0,0,358.0
96,35,12,4,0,0,374.0
96,10,16,4,0,0,358.0
93,78,4,4,0,0,358.0
93,72,8,4,0,0,358.0
93,46,12,4,0,0,358.0
93,14,16,4,0,0,358.0
93,11,20,4,0,0,342.0
91,62,0,4,0,0,374.0
91,58,4,4,0,0,374.0
90,7,0,4,0,0,326.0
87,76,0,4,0,0,358.0
85,84,0,4,0,0,374.0
83,66,0,4,0,0,342.0
82,29,0,4,0,0,358.0
81,98,4,4,0,0,342.0
81,61,0,4,0,0,374.0
80,55,0,4,0,0,358.0
80,50,4,4,0,0,374.0
80,5,8,4,0,0,342.0
79,26,0,4,0,0,342.0
78,45,0,4,0,0,358.0
77,16,0,4,0,0,342.0
76,61,4,4,0,0,358.0
76,16,8,4,0,0,342.0
75,86,0,4,0,0,374.0
74,72,0,4,0,0,358.0
73,47,0,4,0,0,358.0
71,46,0,4,0,0,358.0
71,33,4,4,0,0,342.0
69,47,4,4,0,0,358.0
69,5,0,4,0,0,326.0
66,36,4,4,0,0,326.0
66,35,8,4,0,0,326.0
62,86,4,4,0,0,342.0
62,82,8,4,0,0,358.0
62,32,12,4,0,0,342.0
62,19,16,4,0,0,358.0
61,92,8,4,0,0,342.0
61,81,12,4,0,0,374.0
61,65,16,4,0,0,342.0
60,93,24,4,0,0,342.0
60,81,8,4,0,0,358.0
60,49,0,4,0,0,342.0
59,56,0,4,0,0,358.0
59,25,4,4,0,0,358.0
58,10,0,4,0,0,342.0
57,31,0,4,0,0,358.0
55,11,4,4,0,0,342.0
52,47,8,4,0,0,358.0
46,14,4,4,0,0,342.0
44,97,4,4,0,0,342.0
44,47,12,4,0,0,374.0
44,7,8,4,0,0,342.0
43,57,4,4,0,0,374.0
43,26,8,4,0,0,358.0
43,20,0,4,0,0,374.0
42,73,4,4,0,0,358.0
41,81,16,4,0,0,342.0
41,33,0,4,0,0,358.0
41,32,4,4,0,0,374.0
41,21,8,4,0,0,374.0
41,10,12,4,0,0,358.0
39,69,8,4,0,0,374.0
37,49,4,4,0,0,358.0
36,67,0,4,0,0,358.0
36,32,8,4,0,0,358.0
33,38,8,4,0,0,326.0
32,18,0,4,0,0,342.0
31,84,4,4,0,0,326.0
30,69,12,4,0,0,374.0
30,52,4,4,0,0,358.0
29,63,4,4,0,0,326.0
28,93,28,4,0,0,358.0
27,92,0,4,0,0,374.0
27,89,4,4,0,0,358.0
26,89,12,4,0,0,374.0
25,68,0,4,0,0,358.0
25,45,8,4,0,0,358.0
24,37,0,4,0,0,358.0
23,46,8,4,0,0,374.0
23,15,0,4,0,0,326.0
21,91,12,4,0,0,342.0
21,13,0,4,0,0,358.0
20,63,8,4,0,0,374.0
20,36,12,4,0,0,374.0
20,14,20,4,0,0,342.0
19,92,4,4,0,0,358.0
19,54,0,4,0,0,326.0
18,74,8,4,0,0,342.0
17,91,8,4,0,0,342.0
17,65,0,4,0,0,326.0
16,74,12,4,0,0,358.0
15,81,20,4,0,0,326.0
15,24,4,4,0,0,342.0
12,51,0,4,0,0,358.0
10,73,8,4,0,0,374.0
10,56,4,4,0,0,358.0
9,92,12,4,0,0,374.0
7,16,4,4,0,0,326.0
6,86,8,4,0,0,358.0
6,34,0,4,0,0,326.0
6,21,4,4,0,0,358.0
3,93,32,4,0,0,358.0
3,69,16,4,0,0,374.0
3,34,4,4,0,0,358.0
99,97,8,2,0,0,82.0
99,89,10,2,0,0,82.0
99,78,12,2,0,0,82.0
99,70,4,2,0,0,82.0
99,67,6,2,0,0,82.0
99,62,20,2,0,0,82.0
99,59,14,2,0,0,82.0
99,52,16,2,0,0,82.0
99,46,18,2,0,0,82.0
99,42,22,2,0,0,82.0
99,32,24,2,0,0,82.0
99,30,26,2,0,0,82.0
99,27,28,2,0,0,82.0
99,22,30,2,0,0,82.0
99,17,32,2,0,0,82.0
99,13,34,2,0,0,82.0
99,9,36,2,0,0,63.0
99,8,38,2,0,0,82.0
99,6,40,2,0,0,63.0
98,97,10,2,0,0,82.0
98,84,8,2,0,0,63.0
98,82,12,2,0,0,63.0
98,79,14,2,0,0,82.0
98,78,16,2,0,0,82.0
98,77,18,2,0,0,82.0
98,75,20,2,0,0,63.0
98,70,22,2,0,0,63.0
98,69,24,2,0,0,82.0
98,48,26,2,0,0,82.0
98,40,28,2,0,0,82.0
98,34,30,2,0,0,82.0
98,31,32,2,0,0,82.0
98,29,34,2,0,0,63.0
98,28,36,2,0,0,82.0
98,25,38,2,0,0,82.0
98,23,40,2,0,0,63.0
98,14,42,2,0,0,63.0
98,12,44,2,0,0,82.0
98,7,46,2,0,0,63.0
98,5,48,2,0,0,82.0
98,3,50,2,0,0,63.0
98,0,52,2,0,0,82.0
97,99,42,2,0,0,63.0
97,78,14,2,0,0,82.0
97,59,12,2,0,0,82.0
97,49,16,2,0,0,82.0
97,48,18,2,0,0,63.0
97,35,20,2,0,0,82.0
97,18,22,2,0,0,82.0
97,13,24,2,0,0,82.0
97,9,26,2,0,0,82.0
97,6,28,2,0,0,82.0
97,2,30,2,0,0,82.0
96,99,44,2,0,0,82.0
96,90,20,2,0,0,82.0
96,87,22,2,0,0,82.0
96,86,24,2,0,0,82.0
96,84,26,2,0,0,82.0
96,83,28,2,0,0,82.0
96,82,30,2,0,0,82.0
96,80,32,2,0,0,63.0
96,72,34,2,0,0,63.0
96,63,36,2,0,0,82.0
96,60,38,2,0,0,82.0
96,55,40,2,0,0,63.0
96,53,42,2,0,0,82.0
96,31,46,2,0,0,82.0
96,20,48,2,0,0,82.0
96,18,50,2,0,0,82.0
96,17,52,2,0,0,63.0
96,8,54,2,0,0,82.0
96,5,56,2,0,0,82.0
96,0,58,2,0,0,63.0
95,88,4,2,0,0,82.0
95,85,6,2,0,0,82.0
95,82,14,2,0,0,82.0
95,78,8,2,0,0,82.0
95,76,12,2,0,0,82.0
95,73,16,2,0,0,82.0
95,68,10,2,0,0,82.0
95,67,18,2,0,0,82.0
95,63,0,2,0,0,82.0
95,57,20,2,0,0,63.0
95,56,22,2,0,0,82.0
95,55,24,2,0,0,82.0
95,50,2,2,0,0,82.0
95,48,28,2,0,0,63.0
95,47,26,2,0,0,82.0
95,42,30,2,0,0,63.0
95,38,32,2,0,0,82.0
95,37,34,2,0,0,82.0
95,30,36,2,0,0,63.0
95,27,38,2,0,0,82.0
95,26,40,2,0,0,82.0
95,20,42,2,0,0,63.0
95,15,44,2,0,0,82.0
95,5,46,2,0,0,63.0
95,0,48,2,0,0,82.0
94,99,46,2,0,0,82.0
94,97,32,2,0,0,82.0
94,85,4,2,0,0,82.0
94,76,14,2,0,0,82.0
94,73,12,2,0,0,82.0
94,72,6,2,0,0,63.0
94,69,20,2,0,0,82.0
94,68,8,2,0,0,82.0
94,66,16,2,0,0,63.0
94,63,2,2,0,0,63.0
94,58,10,2,0,0,82.0
94,52,18,2,0,0,82.0
94,49,22,2,0,0,82.0
94,46,24,2,0,0,82.0
94,45,26,2,0,0,63.0
94,40,0,2,0,0,63.0
94,39,28,2,0,0,82.0
94,37,30,2,0,0,82.0
94,35,34,2,0,0,82.0
94,30,38,2,0,0,82.0
94,25,36,2,0,0,82.0
94,23,42,2,0,0,63.0
94,18,40,2,0,0,63.0
94,10,44,2,0,0,63.0
93,97,36,2,0,0,82.0
93,91,38,2,0,0,82.0
93,75,40,2,0,0,82.0
93,69,42,2,0,0,63.0
93,68,44,2,0,0,63.0
93,50,46,2,0,0,82.0
93,33,48,2,0,0,63.0
93,17,50,2,0,0,82.0
93,2,52,2,0,0,82.0
93,1,54,2,0,0,63.0
93,0,56,2,0,0,82.0
92,94,48,2,0,0,63.0
92,87,16,2,0,0,82.0
92,66,18,2,0,0,82.0
92,61,20,2,0,0,63.0
92,52,22,2,0,0,63.0
92,48,24,2,0,0,63.0
92,47,28,2,0,0,82.0
92,43,26,2,0,0,82.0
92,35,30,2,0,0,82.0
92,17,34,2,0,0,63.0
92,14,32,2,0,0,82.0
92,13,36,2,0,0,63.0
91,99,48,2,0,0,82.0
91,95,50,2,0,0,82.0
91,88,16,2,0,0,63.0
91,82,18,2,0,0,63.0
91,71,20,2,0,0,82.0
91,70,24,2,0,0,82.0
91,61,22,2,0,0,82.0
91,55,26,2,0,0,82.0
91,50,28,2,0,0,82.0
91,47,30,2,0,0,63.0
91,43,32,2,0,0,82.0
91,33,34,2,0,0,82.0
91,24,36,2,0,0,82.0
91,23,44,2,0,0,82.0
90,95,52,2,0,0,82.0
90,91,40,2,0,0,63.0
90,87,4,2,0,0,63.0
90,85,8,2,0,0,82.0
90,83,6,2,0,0,82.0
90,79,10,2,0,0,63.0
90,77,12,2,0,0,82.0
90,76,16,2,0,0,63.0
90,73,14,2,0,0,82.0
90,65,22,2,0,0,82.0
90,64,18,2,0,0,63.0
90,60,28,2,0,0,63.0
90,59,24,2,0,0,82.0
90,58,26,2,0,0,63.0
90,57,30,2,0,0,82.0
90,54,32,2,0,0,82.0
90,52,34,2,0,0,82.0
90,51,36,2,0,0,63.0
90,35,38,2,0,0,82.0
90,34,42,2,0,0,63.0
90,28,44,2,0,0,63.0
90,21,46,2,0,0,63.0
90,15,48,2,0,0,82.0
90,11,50,2,0,0,82.0
90,10,54,2,0,0,82.0
89,95,54,2,0,0,63.0
89,93,58,2,0,0,63.0
89,91,42,2,0,0,82.0
89,90,56,2,0,0,82.0
89,82,16,2,0,0,63.0
