src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,10,0,3,0,0,38.0
0,54,3,3,0,0,38.0
98,29,0,18,0,0,424.0
90,49,0,18,0,0,424.0
0,92,6,3,0,0,38.0
0,98,18,3,0,0,38.0
1,8,0,3,0,0,38.0
1,10,3,3,0,0,38.0
87,14,0,18,0,0,424.0
69,19,0,18,0,0,424.0
1,16,6,3,0,0,38.0
56,91,0,18,0,0,424.0
36,49,18,18,0,0,424.0
32,81,0,18,0,0,424.0
1,34,9,3,0,0,38.0
1,45,12,3,0,0,38.0
1,47,15,3,0,0,38.0
1,56,18,3,0,0,38.0
1,58,21,3,0,0,38.0
1,61,24,3,0,0,38.0
1,75,27,3,0,0,38.0
1,76,30,3,0,0,38.0
17,39,0,18,0,0,424.0
1,78,33,3,0,0,38.0
1,80,36,3,0,0,38.0
1,87,39,3,0,0,38.0
1,92,42,3,0,0,38.0
5,29,18,18,0,0,424.0
2,6,0,3,0,0,38.0
2,10,6,3,0,0,38.0
93,91,18,18,0,0,408.0
2,15,3,3,0,0,38.0
2,16,9,3,0,0,38.0
2,43,12,3,0,0,38.0
91,45,36,18,0,0,408.0
91,39,54,18,0,0,408.0
2,53,15,3,0,0,38.0
2,54,18,3,0,0,38.0
81,80,18,18,0,0,408.0
80,31,0,18,0,0,408.0
2,63,21,3,0,0,38.0
2,72,24,3,0,0,38.0
74,56,21,18,0,0,408.0
63,31,24,18,0,0,408.0
60,80,39,18,0,0,408.0
2,74,39,3,0,0,38.0
2,86,27,3,0,0,38.0
53,87,18,18,0,0,408.0
3,21,0,3,0,0,38.0
3,37,3,3,0,0,38.0
53,59,36,18,0,0,408.0
51,62,0,18,0,0,408.0
3,53,6,3,0,0,38.0
33,98,21,18,0,0,408.0
3,55,9,3,0,0,38.0
3,62,18,3,0,0,38.0
3,63,12,3,0,0,38.0
3,67,15,3,0,0,38.0
33,59,0,18,0,0,408.0
29,93,36,18,0,0,408.0
17,87,42,18,0,0,408.0
3,73,21,3,0,0,38.0
3,77,24,3,0,0,38.0
8,19,18,18,0,0,408.0
3,90,27,3,0,0,38.0
3,95,30,3,0,0,38.0
3,87,60,18,0,0,408.0
3,97,33,3,0,0,38.0
3,98,39,3,0,0,38.0
2,17,60,18,0,0,408.0
0,49,36,18,0,0,408.0
4,5,0,3,0,0,38.0
92,90,45,17,0,0,392.0
4,9,3,3,0,0,38.0
4,17,18,3,0,0,38.0
4,27,6,3,0,0,38.0
85,46,0,17,0,0,392.0
4,32,21,3,0,0,38.0
77,65,0,17,0,0,392.0
4,40,9,3,0,0,38.0
75,25,0,17,0,0,392.0
4,42,12,3,0,0,38.0
4,43,15,3,0,0,38.0
69,51,18,17,0,0,392.0
4,93,54,3,0,0,38.0
68,52,0,17,0,0,392.0
5,38,3,3,0,0,38.0
6,3,36,3,0,0,38.0
6,10,9,3,0,0,38.0
6,12,3,3,0,0,38.0
6,15,6,3,0,0,38.0
6,18,12,3,0,0,38.0
6,34,15,3,0,0,38.0
6,51,39,3,0,0,38.0
6,57,18,3,0,0,38.0
65,51,42,17,0,0,392.0
6,60,21,3,0,0,38.0
64,81,36,17,0,0,392.0
63,17,42,17,0,1,392.0
6,61,27,3,0,0,38.0
6,67,24,3,0,0,38.0
6,69,42,3,0,0,38.0
6,76,33,3,0,0,38.0
62,15,21,17,0,0,392.0
6,77,30,3,0,0,38.0
58,51,59,17,0,0,392.0
6,80,57,3,0,0,38.0
6,84,45,3,0,0,38.0
6,89,48,3,0,0,38.0
6,98,51,3,0,0,38.0
7,21,3,3,0,0,38.0
7,23,0,3,0,0,38.0
7,42,6,3,0,0,38.0
7,59,18,3,0,0,38.0
52,81,53,17,0,0,392.0
7,67,9,3,0,0,38.0
51,0,54,17,1,0,392.0
7,69,35,3,0,0,38.0
50,39,18,17,0,0,392.0
7,88,12,3,0,0,38.0
8,2,36,3,0,0,38.0
8,15,9,3,0,0,38.0
49,66,54,17,0,0,392.0
49,38,6,17,1,0,392.0
8,18,3,3,0,0,38.0
8,43,6,3,0,0,38.0
8,61,12,3,0,0,38.0
44,93,0,17,0,0,392.0
8,64,15,3,0,0,38.0
8,97,39,3,0,0,38.0
9,8,42,3,0,0,38.0
9,12,0,3,0,0,38.0
9,16,12,3,0,0,38.0
38,45,54,17,0,0,392.0
38,17,23,17,0,0,392.0
9,20,6,3,0,0,38.0
38,9,15,17,1,0,392.0
36,66,0,17,0,0,392.0
9,35,9,3,0,0,38.0
35,63,59,17,0,0,392.0
9,68,32,3,0,0,38.0
35,45,15,17,0,0,392.0
9,99,35,3,0,0,38.0
31,34,42,17,0,0,392.0
10,6,54,3,0,0,38.0
10,24,12,3,0,0,38.0
