src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,70,0,5,0,0,416.0
99,53,5,5,0,0,416.0
99,40,10,5,0,0,392.0
98,64,0,5,0,0,404.0
98,8,5,5,0,0,384.0
97,71,0,5,0,0,396.0
95,85,0,5,0,0,400.0
95,57,5,5,0,0,428.0
94,72,0,5,0,0,384.0
94,61,5,5,0,0,384.0
94,58,10,5,0,0,404.0
93,61,0,5,0,0,408.0
93,44,5,5,0,0,380.0
93,10,10,5,0,0,396.0
92,43,0,5,0,0,392.0
91,71,5,5,0,0,416.0
91,36,0,5,0,0,384.0
91,31,10,5,0,0,416.0
91,29,15,5,0,0,400.0
90,64,5,5,0,0,436.0
89,32,0,5,0,0,400.0
89,23,5,5,0,0,412.0
88,50,0,5,0,0,404.0
87,35,0,5,0,0,376.0
86,39,0,5,0,0,408.0
85,54,5,5,0,0,396.0
84,37,0,5,0,0,420.0
83,74,0,5,0,0,396.0
82,39,5,5,0,0,400.0
81,98,10,5,0,0,416.0
81,55,0,5,0,0,404.0
81,50,5,5,0,0,400.0
80,95,10,5,0,0,384.0
79,5,0,5,0,0,420.0
78,99,15,5,0,0,392.0
78,69,0,5,0,0,392.0
77,43,5,5,0,0,376.0
77,17,0,5,0,0,404.0
76,89,10,5,0,0,396.0
76,1,0,5,0,0,416.0
75,62,0,5,0,0,388.0
75,9,5,5,0,0,388.0
74,3,5,5,0,0,396.0
73,17,5,5,0,0,420.0
73,3,0,5,0,0,408.0
72,87,5,5,0,0,392.0
72,70,10,5,0,0,424.0
72,27,15,5,0,0,392.0
70,66,5,5,0,0,428.0
70,41,15,5,0,0,388.0
70,35,20,5,0,0,408.0
69,98,15,5,0,0,392.0
69,87,10,5,0,0,404.0
67,99,20,5,0,0,404.0
67,37,5,5,0,0,380.0
66,71,10,5,0,0,420.0
66,41,0,5,0,0,416.0
66,32,15,5,0,0,380.0
65,98,20,5,0,0,396.0
65,93,15,5,0,0,396.0
65,31,0,5,0,0,408.0
64,53,10,5,0,0,392.0
62,18,5,5,0,0,408.0
62,10,15,5,0,0,392.0
60,20,0,5,0,0,376.0
59,58,0,5,0,0,392.0
59,51,5,5,0,0,400.0
58,29,5,5,0,0,384.0
57,67,0,5,0,0,420.0
56,37,10,5,0,0,420.0
55,60,5,5,0,0,420.0
55,52,10,5,0,0,404.0
55,7,15,5,0,0,408.0
54,81,15,5,0,0,404.0
53,83,15,5,0,0,388.0
52,99,25,5,0,0,384.0
50,32,10,5,0,0,404.0
50,2,15,5,0,0,412.0
49,59,10,5,0,0,400.0
49,48,0,5,0,0,416.0
47,73,10,5,0,0,396.0
47,50,20,5,0,0,412.0
46,81,20,5,0,0,396.0
46,53,0,5,0,0,396.0
44,79,10,5,0,0,392.0
44,65,25,5,0,0,376.0
43,23,10,5,0,0,416.0
43,15,15,5,0,0,400.0
42,91,20,5,0,0,392.0
42,40,0,5,0,0,408.0
41,18,10,5,0,0,432.0
41,11,5,5,0,0,404.0
40,76,5,5,0,0,376.0
40,64,15,5,0,0,416.0
40,21,20,5,0,0,400.0
40,12,25,5,0,0,396.0
39,93,20,5,0,0,384.0
39,77,10,5,0,0,420.0
38,10,0,5,0,0,404.0
36,68,5,5,0,0,400.0
33,50,25,5,0,0,412.0
33,49,5,5,0,0,392.0
31,40,30,5,0,0,416.0
29,59,20,5,0,0,428.0
29,23,0,5,0,0,400.0
28,87,15,5,0,0,420.0
28,27,0,5,0,0,392.0
28,0,5,5,0,0,392.0
27,12,5,5,0,0,400.0
26,90,0,5,0,0,408.0
26,75,10,5,0,0,388.0
26,46,5,5,0,0,396.0
25,27,10,5,0,0,392.0
23,75,15,5,0,0,400.0
23,55,20,5,0,0,384.0
23,43,25,5,0,0,428.0
22,57,10,5,0,0,392.0
21,19,0,5,0,0,400.0
20,91,25,5,0,0,400.0
19,84,5,5,0,0,404.0
17,6,10,5,0,0,396.0
16,49,15,5,0,0,404.0
16,18,0,5,0,0,416.0
15,94,20,5,0,0,412.0
13,22,0,5,0,0,376.0
12,66,20,5,0,0,400.0
11,91,30,5,0,0,428.0
11,58,15,5,0,0,400.0
11,21,10,5,0,0,396.0
10,96,5,5,0,0,388.0
10,59,25,5,0,0,416.0
9,82,0,5,0,0,380.0
9,3,10,5,0,0,388.0
8,17,15,5,0,0,400.0
7,93,25,5,0,0,400.0
7,22,5,5,0,0,412.0
7,1,10,5,0,0,420.0
6,70,25,5,0,0,412.0
6,7,0,5,0,0,412.0
5,72,20,5,0,0,400.0
5,59,15,5,0,0,412.0
3,90,15,5,0,0,376.0
3,48,20,5,0,0,408.0
2,93,30,5,0,0,384.0
2,85,10,5,0,0,396.0
2,25,0,5,0,0,404.0
1,51,15,5,0,0,424.0
0,42,10,5,0,0,416.0
0,37,15,5,0,0,396.0
0,33,0,5,0,0,432.0
97,46,10,4,0,0,368.0
96,66,25,4,0,0,368.0
96,24,0,4,0,0,364.0
86,15,5,4,0,0,372.0
74,38,10,4,0,0,372.0
56,43,20,4,0,0,368.0
47,80,0,4,0,0,368.0
47,43,30,4,0,0,364.0
15,82,10,4,0,0,368.0
12,23,30,4,0,0,368.0
3,36,25,4,0,0,368.0
2,8,20,4,0,0,368.0
1,96,20,4,0,0,372.0
1,54,24,4,0,0,368.0
99,84,30,2,0,0,27.5
99,74,32,2,0,0,41.0
99,64,34,2,0,0,41.0
99,45,36,2,0,0,32.0
99,41,38,2,0,0,32.0
99,37,40,2,0,0,54.5
99,34,42,2,0,0,41.0
99,31,44,2,0,0,27.5
99,27,46,2,0,0,36.5
99,21,48,2,0,0,72.5
99,14,50,2,0,0,68.0
99,9,52,2,0,0,86.0
98,88,25,2,0,0,59.0
98,79,27,2,0,0,32.0
98,76,29,2,0,0,72.5
98,53,31,2,0,0,32.0
98,50,33,2,0,0,50.0
98,37,35,2,0,0,77.0
98,26,37,2,0,0,41.0
98,20,39,2,0,0,45.5
98,10,41,2,0,0,77.0
98,9,43,2,0,0,59.0
98,7,45,2,0,0,54.5
98,2,47,2,0,0,81.5
97,91,35,2,0,0,27.5
97,79,5,2,0,0,50.0
97,73,15,2,0,0,41.0
97,50,30,2,0,0,50.0
97,45,7,2,0,0,18.5
97,41,20,2,0,0,63.5
97,5,25,2,0,0,63.5
97,0,22,2,0,0,23.0
96,80,15,2,0,0,23.0
96,67,10,2,0,0,41.0
96,52,17,2,0,0,36.5
96,47,34,2,0,0,32.0
96,43,36,2,0,0,59.0
96,41,29,2,0,0,50.0
96,12,12,2,0,0,77.0
96,1,31,2,0,0,54.5
95,99,54,2,0,0,54.5
95,94,15,2,0,0,86.0
95,89,17,2,0,0,59.0
95,86,19,2,0,0,50.0
95,66,29,2,0,0,18.5
95,56,24,2,0,0,36.5
95,38,21,2,0,0,59.0
95,35,26,2,0,0,54.5
95,27,31,2,0,0,50.0
95,21,33,2,0,0,59.0
95,16,35,2,0,0,36.5
95,10,37,2,0,0,45.5
95,8,39,2,0,0,50.0
95,4,41,2,0,0,27.5
94,99,56,2,0,0,23.0
94,98,49,2,0,0,41.0
94,97,17,2,0,0,23.0
94,81,25,2,0,0,50.0
94,66,31,2,0,0,36.5
94,63,27,2,0,0,32.0
94,60,29,2,0,0,41.0
94,45,33,2,0,0,54.5
94,42,35,2,0,0,81.5
94,34,37,2,0,0,36.5
94,30,39,2,0,0,86.0
94,21,41,2,0,0,36.5
94,20,43,2,0,0,45.5
94,8,45,2,0,0,54.5
94,0,47,2,0,0,81.5
93,99,58,2,0,0,72.5
93,96,38,2,0,0,50.0
93,78,35,2,0,0,54.5
93,74,40,2,0,0,36.5
93,68,42,2,0,0,77.0
93,55,44,2,0,0,27.5
93,52,46,2,0,0,68.0
93,49,48,2,0,0,77.0
93,42,50,2,0,0,32.0
93,16,52,2,0,0,63.5
92,96,40,2,0,0,81.5
