4367.1,2.5296e+05,3819.8,2.8932e+05,3314.1,3.1932e+05,2869,3.3776e+05
4355.6,2.5364e+05,3815.4,2.8988e+05,3313.2,3.2016e+05,2867.9,3.3876e+05
4360.1,2.5378e+05,3815.3,2.8985e+05,3313.4,3.2011e+05,2868.1,3.3872e+05
4359.2,2.5385e+05,3814.2,2.8994e+05,3311.7,3.2008e+05,2868.4,3.3884e+05
4359.2,2.5391e+05,3815.4,2.8999e+05,3312.2,3.2014e+05,2868.4,3.3883e+05
4356.9,2.5402e+05,3816.4,2.9019e+05,3308.7,3.1993e+05,2867.7,3.3885e+05
4358.6,2.5433e+05,3814,2.9016e+05,3311.9,3.2028e+05,2870.3,3.392e+05
4357.4,2.5468e+05,3813.3,2.9066e+05,3309.5,3.2064e+05,2872,3.3966e+05
4353.5,2.5548e+05,3809.1,2.9163e+05,3304.8,3.209e+05,2873,3.4062e+05
4357.7,2.5584e+05,3803.2,2.922e+05,3302,3.2138e+05,2872.7,3.412e+05
4351.2,2.5896e+05,3782.2,2.9509e+05,3277.7,3.2413e+05,2874.9,3.4309e+05
4295.3,2.7279e+05,3700,3.0702e+05,3252.1,3.2872e+05,2879.4,3.4601e+05
4192.6,2.8953e+05,3659.1,3.1176e+05,3247.2,3.325e+05,2859.1,3.4894e+05
4184.4,2.906e+05,3648.1,3.1306e+05,3233.9,3.3386e+05,2843.8,3.5038e+05
4014.4,3.0121e+05,3451.2,3.2776e+05,3026.6,3.4805e+05,2652.7,3.6117e+05
3227.1,3.3346e+05,2596.3,3.6709e+05,2176.3,3.8633e+05,1878.9,3.9414e+05
3063.2,3.3668e+05,2436.5,3.7059e+05,2006.8,3.9001e+05,1705.3,3.9687e+05
3041.2,3.3712e+05,2417.9,3.7094e+05,1991.1,3.9034e+05,1693.3,3.9702e+05
2988.6,3.3766e+05,2395.7,3.7115e+05,1968.5,3.9016e+05,1674,3.9705e+05
2963.2,3.3778e+05,2383.8,3.7105e+05,1960,3.9017e+05,1667.9,3.9717e+05
2948,3.3791e+05,2377.4,3.7111e+05,1953.3,3.9021e+05,1663.6,3.9694e+05
2939,3.3798e+05,2373.7,3.7109e+05,1950.2,3.9001e+05,1662,3.9706e+05
